Isolate	Concentration	Replicate	Area
TN5-9	0.3	5	18.734
TN5-9	0.3	6	13.918
TN5-9	0.3	7	10.156
TN5-9	0.3	8	13.514
TN5-9	0.3	9	13.351
TN5-9	0.3	10	10.727
TN5-9	0	1	26.812
TN5-9	0	2	26.272
TN5-9	0	3	25.134
TN5-9	0	4	26.209
TN5-9	0	5	20.226
TN5-9	0	6	22.7
TN5-9	0	7	23.21
TN5-9	0	8	21.653
TN5-9	0	9	25.146
TN5-9	0	10	19.702
TN1-26	1.2	1	5.462
TN1-26	1.2	2	3.634
TN1-26	1.2	3	3.564
TN1-26	1.2	4	5.479
TN1-26	1.2	5	9.058
TN1-26	1.2	6	8.281
TN1-26	1.2	7	3.479
TN1-26	1.2	8	3.397
TN1-26	1.2	9	5.481
TN1-26	1.2	10	5.201
TN1-26	0.9	1	5.827
TN1-26	0.9	2	6.413
TN1-26	0.9	3	3.762
TN1-26	0.9	4	NA
TN1-26	0.9	5	13.505
TN1-26	0.9	6	6.184
TN1-26	0.9	7	3.575
TN1-26	0.9	8	4.868
TN1-26	0.9	9	5.392
TN1-26	0.9	10	NA
TN1-26	0.6	1	10.827
TN1-26	0.6	2	8.018
TN1-26	0.6	3	6.317
TN1-26	0.6	4	18.417
TN1-26	0.6	5	10.268
TN1-26	0.6	6	9.335
TN1-26	0.6	7	6.284
TN1-26	0.6	8	11.395
TN1-26	0.6	9	9.145
TN1-26	0.6	10	8.271
TN1-26	0.3	1	18.473
TN1-26	0.3	2	19.689
TN1-26	0.3	3	17.959
TN1-26	0.3	4	18.141
TN1-26	0.3	5	20.727
TN1-26	0.3	6	25.387
TN1-26	0.3	7	25.867
TN1-26	0.3	8	21.433
TN1-26	0.3	9	13.811
TN1-26	0.3	10	17.759
TN1-26	0	1	27.529
TN1-26	0	2	24.471
TN1-26	0	3	26.228
TN1-26	0	4	26.589
TN1-26	0	5	25.914
TN1-26	0	6	27.061
TN1-26	0	7	NA
TN1-26	0	8	25.84
TN1-26	0	9	27.545
TN1-26	0	10	25.652
TN2-51	1.2	1	4.088
TN2-51	1.2	2	3.362
TN2-51	1.2	3	4.165
TN2-51	1.2	4	3.979
TN2-51	1.2	5	5.774
TN2-51	1.2	6	6.285
TN2-51	1.2	7	6.045
TN2-51	1.2	8	9.879
TN2-51	1.2	9	7.133
TN2-51	1.2	10	4.893
TN2-51	0.9	1	7.61
TN2-51	0.9	2	4.502
TN2-51	0.9	3	6.525
TN2-51	0.9	4	5.579
TN2-51	0.9	5	4.832
TN2-51	0.9	6	8.62
TN2-51	0.9	7	7.106
TN2-51	0.9	8	5.973
TN2-51	0.9	9	6.653
TN2-51	0.9	10	8.056
TN2-51	0.6	1	6.366
TN2-51	0.6	2	8.482
TN2-51	0.6	3	14.929
